doc_id,topic,subtopic,question_variation,context,answer_hint
P001,project,existence,Is there a project in this course?,"Yes, the course includes a project component as part of the official grading structure. It is not optional in the evaluation table and contributes substantially to the final grade.","Yes, the course has a project component."
P002,project,weight,How much is the project worth?,The syllabus assigns 30 percent of the total course grade to the project. This makes it the second most influential assessment component after the final exam.,The project is worth 30 percent.
P003,project,importance,Does the project matter a lot?,"Yes, the project matters a lot because it contributes nearly one third of the total course grade. It is significantly more important than the assignment component.","Yes, the project is important because it counts for 30 percent."
P004,project,presentations,Are projects presented during the semester?,The weekly plan shows project presentations in the final two weeks of the course. This indicates that presentation is an expected part of the project activity.,"Yes, project presentations take place in the final weeks."
P005,project,role,What is the purpose of the project in this course?,The project serves as the main practical application component of the course. It allows students to implement and showcase an intelligent application using the concepts covered in class.,The project is the main practical component where students apply course concepts.
P006,project,planning,Should I start the project early?,Starting early is a good idea because the project is worth 30 percent and ends with a presentation phase. Waiting until the last minute would create unnecessary pressure near the end of the semester.,"Yes, starting the project early is a smart strategy."
P007,project,deliverables,What is expected from the project overall?,The project requires students to build a working intelligent application and present it. It is evaluated as a major graded component and is tied to the final weeks of the semester through presentations.,Students are expected to build and present a working application.
P008,project,comparison,Is the project more important than the assignment?,"Yes, the project carries more weight than the assignment. The project is worth 30 percent, while the assignment is worth 10 percent.","Yes, the project is more important than the assignment."
I001,instructor,coordinator,Who coordinates the course?,The course coordinator listed in the syllabus is Dr. Öğr. Üyesi Alper Öner. This is the primary named instructor-related information provided in the course description.,The course coordinator is Dr. Öğr. Üyesi Alper Öner.
I002,instructor,identity,Who is the instructor or coordinator for this class?,The available course document identifies Dr. Öğr. Üyesi Alper Öner as the course coordinator. No additional instructor names are listed in the same summary.,The course coordinator is Dr. Öğr. Üyesi Alper Öner.
I003,instructor,role,Is there a named lecturer in the syllabus?,The course summary explicitly names a course coordinator rather than listing multiple lecturers. The identified person is Dr. Öğr. Üyesi Alper Öner.,"Yes, the named coordinator is Dr. Öğr. Üyesi Alper Öner."
I004,instructor,availability,Does the syllabus mention office hours for the instructor?,"The course summary includes the coordinator name and general course metadata, but it does not provide office-hour details in the visible section. Additional scheduling information may need to come from the instructor directly.",No office hours are specified in the provided syllabus summary.
I005,instructor,contact_scope,Can I find detailed contact info in the summary?,The provided summary identifies the course coordinator by name but does not show extended contact information such as email or office room in the visible excerpt. It mainly focuses on course content and structure.,"The summary shows the coordinator's name, but not detailed contact information."
I006,instructor,responsibility,What instructor-related detail is explicitly given?,The clearest instructor-related detail in the course description is the identity of the course coordinator. That named academic is Dr. Öğr. Üyesi Alper Öner.,The explicit instructor-related detail is the course coordinator's name: Dr. Öğr. Üyesi Alper Öner.
C001,course_content,overview,What topics does the course cover overall?,"The course covers neural networks, CNNs, NLP, transformers with BERT, LLMs, fine-tuning, multimodal models, and language and image processing applications. It is designed as a broad introduction to modern intelligent systems with a strong LLM focus.","The course covers neural networks, NLP, transformers, LLMs, fine-tuning, and related applications."
C002,course_content,nlp_presence,Does the course include NLP?,"Yes, natural language processing appears explicitly in the course content and weekly schedule. There are introductory NLP weeks followed by deep learning for NLP and transformer-based topics.","Yes, NLP is a core part of the course."
C003,course_content,transformers_presence,Are transformers part of the course?,"Transformers are one of the central themes of the course. The syllabus specifically mentions BERT, named entity recognition with transformers, efficient transformers in production, and LLM-related topics built on transformer ideas.","Yes, transformers are a major part of the course."
C004,course_content,llm_presence,Does the course actually teach LLMs?,"Yes, large language models are explicitly listed in the weekly content. The course objective also emphasizes building, training, and improving large language models.","Yes, LLMs are explicitly taught in the course."
C005,course_content,fine_tuning_presence,Is fine-tuning included in the course content?,"Yes, LLM fine-tuning is included in the course content list. It appears as part of the course's practical and modern LLM-oriented scope.","Yes, fine-tuning is included in the course."
C006,course_content,multimodal,Does the course mention multimodal models?,"Yes, the content list includes MLLMs, which refers to multimodal large language models. This shows the course goes beyond text-only models in its topical coverage.","Yes, multimodal large language models are mentioned."
C007,course_content,applications,Are there application-oriented topics in the course?,"Yes, the course includes both theoretical concepts and application-oriented topics. The content mentions image processing and natural language processing applications, and the project requires a working intelligent application.","Yes, the course includes application-oriented topics and a practical project."
C008,course_content,scope,Is the course only about LLMs?,"No, the course is centered on LLMs but also includes prerequisite and related topics such as neural networks, CNNs, NLP foundations, transformers, efficiency, and vector databases. This broader scope helps students understand the ecosystem around modern language models.","No, the course covers LLMs as well as supporting topics like NLP, transformers, and neural networks."
N001,nlp_basics,definition,What is NLP?,"Natural Language Processing, or NLP, is the field of computing that focuses on enabling machines to process, analyze, and generate human language. It combines ideas from linguistics, machine learning, and computer science.",NLP is the field concerned with processing and understanding human language.
N002,nlp_basics,goal,What is the goal of NLP in simple terms?,"The goal of NLP is to make computers work with human language in meaningful ways. This includes understanding text, classifying it, extracting information, and generating responses.",The goal of NLP is to help computers understand and use human language.
N003,nlp_basics,tasks,What kinds of tasks belong to NLP?,"Common NLP tasks include text classification, sentiment analysis, named entity recognition, machine translation, question answering, summarization, and dialogue systems. Modern LLM applications build on many of these tasks.","NLP includes tasks like classification, translation, summarization, and question answering."
N004,nlp_basics,deep_learning,How is modern NLP different from older rule-based NLP?,Older NLP systems often relied on hand-written rules and manually designed features. Modern NLP increasingly uses data-driven neural models that learn useful representations directly from large text corpora.,Modern NLP relies more on learned neural representations than hand-written rules.
N005,nlp_basics,relation_to_course,Why is NLP important in this course?,"NLP is a foundational part of the course because transformers and large language models are built to process language. Understanding NLP concepts helps explain how these models classify, retrieve, and generate text.",NLP matters because it provides the foundation for transformers and LLMs.
N006,nlp_basics,examples,Can you give examples of NLP applications?,"Examples of NLP applications include chatbots, search systems, machine translation tools, spam filters, document classifiers, and question-answering systems. Many academic assistant systems are practical NLP applications.","Examples include chatbots, translation, classification, and question answering."
T001,transformers,definition,What is a transformer?,A transformer is a neural architecture for sequence processing that relies on attention mechanisms rather than recurrent loops. It became highly influential because it handles long-range relationships efficiently and supports parallel training.,A transformer is an attention-based sequence model widely used in modern NLP.
T002,transformers,self_attention,What is self-attention?,Self-attention is a mechanism that lets each token compare itself with other tokens in the same sequence. It helps the model decide which words matter most when forming contextual representations.,Self-attention lets a model weigh relationships between tokens in the same input.
T003,transformers,why_important,Why are transformers important?,Transformers are important because they improved performance on many NLP tasks and made large-scale language modeling practical. They support parallel computation and capture broad contextual relationships more effectively than many earlier architectures.,Transformers are important because they enable strong contextual modeling and scalable training.
T004,transformers,parallelism,Why are transformers faster to train than RNNs?,Transformers process whole sequences in parallel during training instead of stepping through them one token at a time as recurrent models do. This parallelism makes them well-suited to modern hardware such as GPUs.,They are often faster to train because they support parallel processing.
T005,transformers,encoder_decoder,What is the encoder-decoder idea in transformers?,"In encoder-decoder transformers, the encoder reads and represents the input sequence, while the decoder generates the output sequence token by token. This design is common in translation and other sequence-to-sequence tasks.",The encoder represents input and the decoder generates output.
T006,transformers,positional_encoding,Why do transformers need positional encoding?,Attention alone does not encode word order by itself. Positional encoding adds sequence-order information so the model can distinguish between tokens appearing in different positions.,Transformers need positional information because attention alone does not preserve order.
T007,transformers,multihead,What is multi-head attention?,Multi-head attention uses several attention heads in parallel so the model can focus on different kinds of relationships at the same time. This helps it capture richer patterns within the sequence.,Multi-head attention allows the model to learn multiple relationships in parallel.
T008,transformers,course_link,Why are transformers central to this project?,Transformers matter here because both retrieval embeddings and many intent-understanding extensions can rely on transformer-based representations. They also form the backbone of modern LLM and RAG-style systems.,Transformers are central because they power modern embeddings and LLM pipelines.
B001,bert,definition,What is BERT?,BERT is a transformer-based language model designed to learn contextual word representations by looking at both left and right context during pretraining. It is especially strong for understanding-oriented tasks such as classification and question answering.,BERT is a bidirectional transformer model used for language understanding.
B002,bert,name,What does BERT stand for?,BERT stands for Bidirectional Encoder Representations from Transformers. The name reflects its use of transformer encoders and bidirectional context during pretraining.,BERT stands for Bidirectional Encoder Representations from Transformers.
B003,bert,bidirectional,Why is BERT called bidirectional?,BERT is called bidirectional because it uses context from both sides of a token while learning representations. This differs from older unidirectional setups that only read left-to-right or right-to-left.,It is bidirectional because it uses both left and right context.
B004,bert,use_cases,What is BERT used for?,"BERT is commonly used for tasks such as text classification, intent detection, named entity recognition, sentence-pair modeling, and extractive question answering. It is generally stronger at understanding than open-ended generation.",BERT is used mainly for understanding tasks like classification and NER.
B005,bert,vs_gpt,How is BERT different from GPT?,"BERT is encoder-based and optimized for understanding text representations, while GPT is decoder-based and optimized for next-token generation. In short, BERT is often used for understanding tasks and GPT for generation tasks.","BERT is more understanding-oriented, while GPT is more generation-oriented."
B006,bert,fine_tuning,Can BERT be fine-tuned?,"Yes, BERT can be fine-tuned on labeled downstream tasks such as sentiment analysis or intent classification. Fine-tuning adapts the pretrained model to a specific dataset and objective.","Yes, BERT can be fine-tuned for downstream NLP tasks."
B007,bert,attention,Does BERT use attention?,"Yes, BERT is built on transformer encoder blocks that use self-attention. This attention mechanism helps it create contextual representations by modeling relationships between tokens.","Yes, BERT uses self-attention inside transformer encoder layers."
B008,bert,project_link,Would BERT fit this chatbot project?,"Yes, BERT could fit the project especially as an upgraded intent classifier or understanding layer. However, a lighter baseline such as TF-IDF with logistic regression may be easier to train and evaluate under time constraints.","Yes, BERT fits the project, especially as a stronger classifier upgrade."
EM001,embeddings,definition,What is an embedding in NLP?,An embedding is a dense vector representation of text that captures semantic and syntactic information in numerical form. Similar meanings are often mapped to nearby points in vector space.,An embedding is a vector representation that captures meaning.
EM002,embeddings,importance,Why are embeddings useful?,Embeddings are useful because they let machine learning systems work with text numerically while preserving relationships between meanings. They improve over simple keyword matching by capturing semantic similarity.,Embeddings are useful because they represent meaning in a machine-friendly form.
EM003,embeddings,sentence_embeddings,What is a sentence embedding?,"A sentence embedding is a single vector representing the meaning of a whole sentence or phrase. It is useful for tasks like semantic search, clustering, and retrieval-based question answering.",A sentence embedding summarizes the meaning of an entire sentence as a vector.
EM004,embeddings,word_vs_sentence,What is the difference between word embeddings and sentence embeddings?,"Word embeddings represent individual tokens, while sentence embeddings represent larger text units such as phrases or full sentences. Sentence embeddings are usually more convenient for semantic search over question-answer data.","Word embeddings encode single words, while sentence embeddings encode whole sentences."
EM005,embeddings,retrieval_use,Why do we need embeddings in this chatbot?,Embeddings help the chatbot compare the meaning of a user question with stored knowledge-base entries. This allows the system to retrieve relevant context even when the wording is different.,Embeddings let the chatbot find semantically similar content.
EM006,embeddings,similarity,How are embeddings compared?,Embeddings are often compared using similarity measures such as cosine similarity. A higher cosine similarity typically indicates that two text items are semantically closer in the vector space.,Embeddings are commonly compared with cosine similarity.
EM007,embeddings,tfidf_vs_transformer,How are transformer embeddings different from TF-IDF?,"TF-IDF represents documents based on token frequency and document rarity, while transformer embeddings aim to capture contextual semantic meaning. Transformer embeddings usually handle paraphrases and wording changes better.",Transformer embeddings capture meaning better than TF-IDF in many semantic tasks.
EM008,embeddings,vector_space,What does it mean that embeddings live in vector space?,It means each text item is converted into a numeric vector placed in a high-dimensional space. Distances or angles between vectors can then be used to estimate semantic similarity.,Embedding vectors are points in a space where closeness reflects semantic similarity.
A001,attention,definition,What is attention in NLP?,Attention is a mechanism that helps a model decide which parts of an input should matter more for a given representation or prediction. It assigns different importance weights to different tokens.,Attention helps a model focus on the most relevant parts of the input.
A002,attention,self_attention,How is attention related to self-attention?,Self-attention is a specific form of attention where the input sequence attends to itself. Each token can weigh the relevance of other tokens in the same sequence when building its representation.,Self-attention is attention applied within the same sequence.
A003,attention,benefit,Why is attention useful?,Attention is useful because it helps the model capture relationships between distant words and focus on informative context. This is one reason transformer models are so effective in language tasks.,Attention is useful because it highlights important contextual relationships.
A004,attention,long_range,Can attention capture long-range dependencies?,"Yes, one major advantage of attention-based models is that they can connect tokens across long distances more directly than many older recurrent architectures. This improves contextual understanding.","Yes, attention can model long-range relationships effectively."
A005,attention,weights,What are attention weights?,Attention weights are the numerical scores that indicate how strongly one token attends to others. They help determine which contextual signals contribute most to the final representation.,Attention weights show how much focus the model gives to different tokens.
A006,attention,interpretability,Does attention help with interpretability?,"Attention can provide partial insight into what the model focuses on, although it should not always be treated as a complete explanation of model reasoning. It is often useful as an interpretive signal rather than a definitive explanation.","Attention can aid interpretation, but it is not a perfect explanation tool."
A007,attention,transformer_link,Why is attention so central to transformers?,Attention is central because the transformer architecture is built around it instead of recurrence. The model uses attention repeatedly to produce context-sensitive representations.,Attention is central because transformers rely on it as their main sequence-modeling mechanism.
A008,attention,project_link,Do I need to mention attention in the report?,"Yes, mentioning attention is valuable because it is one of the core concepts behind transformers and many modern LLM systems. Explaining it helps demonstrate concept mastery in the report.","Yes, attention should be explained in the report as a core transformer concept."
R001,rag,definition,What is RAG?,RAG stands for Retrieval-Augmented Generation. It is an approach where a system first retrieves relevant information from a knowledge source and then uses that retrieved context to generate an answer.,RAG combines retrieval and generation.
R002,rag,motivation,Why is RAG useful?,RAG is useful because it helps a language model answer with grounded information instead of relying only on what it memorized during training. This can improve factuality and domain adaptation.,RAG is useful because it grounds answers in retrieved information.
R003,rag,pipeline,How does a basic RAG pipeline work?,"A basic RAG pipeline usually has three steps: index the knowledge source, retrieve relevant context for a user query, and generate an answer conditioned on that context. The retrieval stage and generation stage work together.",A basic RAG pipeline retrieves context first and then generates the answer.
R004,rag,vs_finetuning,What is the difference between RAG and fine-tuning?,"Fine-tuning updates model parameters using additional training data, while RAG leaves the main model fixed and supplies external knowledge at inference time. RAG is often easier to update when the source knowledge changes.","Fine-tuning changes model weights, while RAG injects external context at inference time."
R005,rag,hallucination,Can RAG reduce hallucinations?,"RAG can reduce hallucinations when the retrieved context is relevant and reliable because the model is encouraged to base its answer on evidence. However, weak retrieval can still lead to poor answers.","Yes, RAG can reduce hallucination when retrieval quality is good."
R006,rag,course_link,Why does RAG fit this course project?,RAG fits well because the course covers retrieval-augmented generation explicitly and the project asks for a working intelligent application. A lightweight RAG design shows both practical engineering and concept integration.,RAG fits the project because it is course-relevant and practical.
R007,rag,rag_lite,What is RAG-lite in this project?,"In this project, RAG-lite means the system retrieves the most relevant context from a small academic knowledge base and then uses that context to produce a more natural final response. It is simpler than a full production RAG stack with external vector database infrastructure.",RAG-lite is a simplified retrieval-plus-generation design used in this project.
R008,rag,limitations,What limits the quality of a RAG system?,"RAG quality depends heavily on the quality of the retrieval stage, the coverage of the knowledge base, and the reliability of the generation step. If the wrong context is retrieved, the final answer may still be weak.","RAG quality depends on retrieval quality, knowledge-base coverage, and generation quality."
F001,fine_tuning,definition,What is fine-tuning?,Fine-tuning is the process of taking a pretrained model and continuing training on a more specific downstream dataset. This helps adapt the model to a target task or domain.,Fine-tuning adapts a pretrained model to a specific task or domain.
F002,fine_tuning,why_use,Why would someone fine-tune a model?,"Someone might fine-tune a model to improve performance on a specialized task, domain, or label set that differs from the original pretraining data. It is a common way to adapt transformer models for classification or domain-specific generation.",Fine-tuning is used to adapt a general model to a specialized task.
F003,fine_tuning,bert_case,How does fine-tuning work with BERT?,"With BERT, fine-tuning usually involves adding a task-specific prediction head and training the model on labeled examples. The pretrained encoder weights are updated so the model becomes more specialized for that task.",BERT fine-tuning adds a task head and updates the pretrained model on labeled data.
F004,fine_tuning,vs_prompting,How is fine-tuning different from prompting?,"Prompting changes the input you give to a model at inference time, while fine-tuning changes the model parameters through additional training. Prompting is lighter-weight, while fine-tuning can produce stronger task-specific adaptation.",Prompting changes the input; fine-tuning changes the model.
F005,fine_tuning,vs_rag,Should I use fine-tuning or RAG for new knowledge?,"If the main problem is incorporating frequently changing external knowledge, RAG is often more flexible because the knowledge base can be updated without retraining the whole model. Fine-tuning is more suitable when behavior or task adaptation is the main goal.",Use RAG for changing external knowledge and fine-tuning for deeper task adaptation.
F006,fine_tuning,course_link,Is fine-tuning part of this course?,"Yes, LLM fine-tuning is explicitly listed in the course content. It is one of the modern adaptation techniques students are expected to understand conceptually.","Yes, fine-tuning is part of the course content."
V001,vector_database,definition,What is a vector database?,"A vector database is a system designed to store, index, and search vector embeddings efficiently. It is commonly used in semantic search and retrieval-augmented generation pipelines.",A vector database stores and searches embeddings efficiently.
V002,vector_database,rag_use,Why are vector databases used in RAG?,Vector databases are used in RAG because they make it efficient to retrieve documents whose embeddings are most similar to the query embedding. This supports scalable semantic retrieval over large knowledge sources.,They are used to retrieve semantically similar documents efficiently.
V003,vector_database,small_project,Do we need a vector database for this project?,"Not necessarily. For a small course project with a compact knowledge base, direct embedding comparison in memory may be sufficient. A vector database becomes more valuable when the corpus is much larger.","No, a small project can work without a dedicated vector database."
V004,vector_database,semantic_search,How is a vector database different from keyword search?,"Keyword search looks for exact or near-exact token matches, while vector search retrieves items based on semantic closeness in embedding space. This helps find relevant content even when wording differs.","Vector search focuses on meaning, while keyword search focuses on word overlap."
V005,vector_database,course_link,Why does the course include vector databases?,Vector databases are included because they are highly relevant to modern retrieval systems and RAG pipelines. They connect representation learning with practical deployment of semantic search systems.,They matter because they support modern semantic retrieval and RAG systems.
V006,vector_database,future_work,Could a vector database be added later to this chatbot?,"Yes, adding a vector database later would be a natural upgrade if the knowledge base grows. It would improve scalability and make the retrieval pipeline closer to a production-style RAG system.","Yes, a vector database would be a strong future improvement."
B401,transformers_book,overview,What changed NLP after 2017?,"The book explains that transformers became the dominant approach in NLP after the 2017 Transformer paper. Their rise was tied to attention, transfer learning, and scaling, which together improved both performance and practical adoption.","Transformers reshaped NLP by combining attention, transfer learning, and large-scale training."
B402,transformers_book,definition,What is a transformer in NLP?,"According to the book, the Transformer is a neural network architecture introduced for sequence modeling and machine translation. It replaced recurrent computation with attention-based computation and achieved better quality and training efficiency than earlier recurrent models.",A transformer is an attention-based neural architecture for sequence modeling that replaced recurrence in many NLP systems.
B403,transformers_book,encoder_decoder_framework,What is the encoder-decoder framework?,"The encoder-decoder framework maps one sequence to another. The encoder compresses the input sequence into representations, and the decoder uses those representations to generate the output sequence token by token.",The encoder-decoder framework uses an encoder to represent an input sequence and a decoder to generate an output sequence.
B404,transformers_book,rnn_limitation,What is a limitation of RNN encoder-decoder models?,"The book highlights that classic recurrent encoder-decoder models compress the input into a final hidden state. This creates an information bottleneck, especially for long sequences, because the decoder depends on a single compressed representation.",A major limitation is the information bottleneck created by relying on a single final hidden state.
B405,attention,definition,What is attention in sequence models?,"Attention allows a decoder or model component to weight different parts of an input sequence differently. Instead of using one fixed summary, the model can focus more on the most relevant encoder states at each step.",Attention lets the model assign different importance to different parts of the input sequence.
B406,attention,benefit,Why is attention useful?,The book explains that attention helps models prioritize the most relevant tokens or hidden states when making predictions. This improves alignment and reduces the limitations of fixed-size sequence summaries.,Attention is useful because it helps the model focus on the most relevant parts of the input for each prediction.
B407,attention,self_attention,What is self-attention?,"Self-attention is the mechanism used in transformers to relate all positions in the same layer to one another. Instead of relying on recurrence, it lets each token representation be updated using information from the whole sequence.",Self-attention updates each token representation by attending to other tokens in the same sequence.
B408,attention,parallelization,Why were transformers faster to train than recurrent models?,"Recurrent models process sequences step by step, which limits parallelization. The book notes that transformers remove recurrence and rely on self-attention, making training far more parallelizable across the sequence.",Transformers train faster because self-attention removes sequential recurrence and allows more parallel computation.
B409,transfer_learning,definition,What is transfer learning in NLP?,Transfer learning in NLP means pretraining a language model on large generic text and then adapting or fine-tuning it to a downstream task. This reduces the amount of labeled data needed for strong performance.,Transfer learning in NLP means pretraining on large text corpora and then fine-tuning for a downstream task.
B410,transfer_learning,ulmfit_steps,What are the main steps of ULMFiT?,"The book presents ULMFiT as a three-stage process: pretraining with language modeling, domain adaptation on in-domain text, and fine-tuning with a task-specific classifier.","ULMFiT consists of pretraining, domain adaptation, and task-specific fine-tuning."
B411,bert,definition,What is BERT?,BERT is described as an encoder-based transformer model pretrained with masked language modeling. It was trained on BookCorpus and English Wikipedia and became a major benchmark-breaking model in NLP.,BERT is an encoder-only transformer pretrained with masked language modeling.
B412,gpt,definition,What is GPT?,The book presents GPT as a decoder-based transformer using language modeling to predict the next token. It combines transformer decoding with transfer learning and was pretrained on the BookCorpus.,GPT is a decoder-only transformer pretrained with next-token language modeling.
B413,transformers_library,purpose,What problem does the Hugging Face Transformers library solve?,"The book explains that using new architectures usually requires custom code for implementation, loading weights, preprocessing, and training. Transformers standardizes these steps and provides one interface across many model families and tasks.","The Transformers library standardizes model loading, preprocessing, training, and task adaptation across many transformer architectures."
B414,transformers_library,framework_support,Which frameworks does the Transformers library support?,"The book states that the library supports three major deep learning frameworks. These are PyTorch, TensorFlow, and JAX.","Transformers supports PyTorch, TensorFlow, and JAX."
B415,pipelines,definition,What is a pipeline in Hugging Face Transformers?,"Pipelines are high-level interfaces that wrap tokenization, model inference, and postprocessing into a simple callable API. They make it possible to apply pretrained models to common tasks with very little code.","A pipeline is a high-level API that combines preprocessing, model inference, and postprocessing for a task."
B416,text_classification,definition,What is text classification?,"The book describes text classification as assigning one or more labels to text, such as sentiment categories or support-ticket types. Sentiment analysis is one common example.",Text classification assigns labels or categories to text.
B417,ner,definition,What is named entity recognition?,"Named entity recognition identifies spans in text that refer to entities such as people, organizations, or locations. The book presents it as a way to extract structured information from unstructured text.","Named entity recognition is the task of identifying entities like people, organizations, and locations in text."
B418,question_answering,extractive_qa,What is extractive question answering?,"In extractive question answering, the model receives a question and a context passage, then returns a span from the passage as the answer. The answer is selected directly from the given text rather than generated freely.",Extractive question answering returns an answer span taken directly from the provided context.
B419,summarization,definition,What is text summarization?,"The book defines summarization as taking a longer text and producing a shorter version that preserves the most relevant information. Unlike classification, it requires the model to generate coherent output text.",Text summarization generates a shorter text that preserves the key information from a longer document.
B420,translation,definition,What is machine translation in the transformer setting?,Machine translation maps a sequence in one language to a sequence in another language. The book uses it as a classic encoder-decoder application and shows it as one of the main early successes of transformers.,Machine translation converts text from one language into another sequence of text.
B421,text_generation,definition,What is text generation?,Text generation models extend a prompt by predicting likely next tokens repeatedly. The book gives autocomplete-style response generation as an example application.,Text generation produces new text by iteratively predicting likely next tokens from a prompt.
B422,hugging_face_hub,definition,What is the Hugging Face Hub?,"The Hugging Face Hub is presented as a central repository for pretrained models, datasets, metrics, and documentation. It helps users quickly find, load, compare, and share resources for NLP and machine learning.","The Hugging Face Hub is a platform for hosting and discovering models, datasets, metrics, and related resources."
B423,hugging_face_hub,advantages,Why is the Hugging Face Hub useful?,"The Hub makes experimentation easier by centralizing models and datasets and making them easy to load in code. It also provides model cards, dataset cards, and interactive widgets that help users inspect resources before adoption.",The Hugging Face Hub is useful because it centralizes reusable models and datasets and makes experimentation much faster.
B424,tokenization,definition,What is tokenization?,The book explains tokenization as the process of splitting raw text into smaller units called tokens. These tokens become the model’s input units and are then represented numerically.,Tokenization is the process of splitting raw text into smaller model-processable units called tokens.
B425,tokenization,character_tokenization,What is character tokenization?,"Character tokenization treats text as a sequence of individual characters. It can help with misspellings and rare words, but it ignores higher-level linguistic structure and is inefficient in practice.","Character tokenization splits text into individual characters, but usually loses useful word-level structure."
